genus_species,population_id,abundance,year,log_abundance,thermal_risk_measure,change_in_log_N
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,228.3,1958,5.43066055353575,4.501625377196662e-5,NA
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,1.646,1958,0.498348102254878,5.274880275666071e-5,NA
Coregonus artedi,Coregonus artedi_48_-88_4580,1.471,1958,0.3859424416193005,5.274880275666071e-5,NA
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,2314,1958,7.746732907753622,3.535857927063172e-5,NA
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,2314,1958,7.746732907753622,3.535857989216965e-5,NA
Esox lucius,Esox lucius_54.12_-3_1111,1500,1958,7.313220387090301,2.2478979235868323e-4,NA
Esox lucius,Esox lucius_54.18_-3_1110,800,1958,6.684611727667927,2.2478979235868323e-4,NA
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,1500,1958,7.313220387090301,2.1276495483175568e-4,NA
Esox lucius,Esox lucius_54.3_-3_1822,800,1958,6.684611727667927,2.2478975833288401e-4,NA
Perca flavescens,Perca flavescens_45.625_-81.87611_877,55.984,1958,4.025065935625332,2.4916770119379553e-5,NA
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,40,1958,3.6888794541139363,1.1195826310086004e-5,NA
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,28,1958,3.332204510175204,1.1195826310086004e-5,NA
Sardinops sagax,Sardinops sagax_-35_20_1936,291,1958,5.673323267171493,0.09705281151780257,NA
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,147.8,1959,4.995860008514102,1.105256362642536e-4,-0.43480054502164833
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,3,1959,1.0986122886681098,NA,NA
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,2.654,1959,0.9760679359100157,5.274880275666071e-5,0.4777198336551377
Coregonus artedi,Coregonus artedi_48_-88_4580,0.88,1959,-0.12783337150988489,5.274880275666071e-5,-0.5137758131291854
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,2122,1959,7.660114319173928,3.535857927063172e-5,-0.08661858857969396
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,2122,1959,7.660114319173928,3.535857989216965e-5,-0.08661858857969396
Esox lucius,Esox lucius_54.12_-3_1111,1200,1959,7.090076835776092,3.407453956084474e-4,-0.2231435513142097
Esox lucius,Esox lucius_54.18_-3_1110,800,1959,6.684611727667927,3.407453956084474e-4,0
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,1200,1959,7.090076835776092,3.664990971787803e-4,-0.2231435513142097
Esox lucius,Esox lucius_54.3_-3_1822,800,1959,6.684611727667927,3.407453956084441e-4,0
Perca flavescens,Perca flavescens_45.625_-81.87611_877,45.128,1959,3.809502896437675,2.4916770119379553e-5,-0.2155630391876575
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,13,1959,2.5649493574615367,1.1195826310086004e-5,-1.1239300966523995
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,25,1959,3.2188758248682006,1.1195826310086004e-5,-0.11332868530700324
Sardinops sagax,Sardinops sagax_-35_20_1936,444,1959,6.095824562432225,0.09710183556514902,0.4225012952607319
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,151.4,1960,5.019925341003349,1.1401495793702904e-4,0.024065332489247027
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1960,1.3862943611198906,NA,0.2876820724517808
