genus_species,population_id,abundance,year,log_abundance,thermal_risk_measure,change_in_log_N
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,1.961,1960,0.6734545472142093,5.2747193015514414e-5,-0.30261338869580645
Coregonus artedi,Coregonus artedi_48_-88_4580,1.75,1960,0.5596157879354227,5.2747193015514414e-5,0.6874491594453076
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,4147,1960,8.330140460246382,3.580869023574349e-5,0.6700261410724533
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,4147,1960,8.330140460246382,3.580869036862767e-5,0.6700261410724533
Esox lucius,Esox lucius_54.12_-3_1111,1500,1960,7.313220387090301,0.0016377052930432216,0.2231435513142097
Esox lucius,Esox lucius_54.18_-3_1110,700,1960,6.551080335043404,0.0016377052930432216,-0.13353139262452274
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,1500,1960,7.313220387090301,0.0015415598277595515,0.2231435513142097
Esox lucius,Esox lucius_54.3_-3_1822,700,1960,6.551080335043404,0.0016377056672844971,-0.13353139262452274
Perca flavescens,Perca flavescens_45.625_-81.87611_877,50.85,1960,3.928880122494569,2.5233957611197133e-5,0.11937722605689416
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,28,1960,3.332204510175204,1.119548484259096e-5,0.7672551527136671
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,15,1960,2.70805020110221,1.119548484259096e-5,-0.5108256237659905
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.3571,1960,-1.0297394243817344,1.4412496618296697e-6,NA
Sardinops sagax,Sardinops sagax_-35_20_1936,594,1960,6.386879319362645,0.18014377444568702,0.2910547569304205
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,189.8,1961,5.245970886175828,1.1318466515909997e-4,0.22604554517247877
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1961,1.3862943611198906,NA,0
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,1.288,1961,0.2530906276821619,5.274880275666071e-5,-0.4203639195320474
Coregonus artedi,Coregonus artedi_48_-88_4580,2.264,1961,0.8171331603409364,5.274880275666071e-5,0.25751737240551376
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,3409,1961,8.134174272137903,3.542932822121741e-5,-0.19596618810847843
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,3409,1961,8.134174272137903,3.5429328892437504e-5,-0.19596618810847843
Esox lucius,Esox lucius_54.12_-3_1111,1800,1961,7.495541943884256,0.0010528579573414582,0.1823215567939549
Esox lucius,Esox lucius_54.18_-3_1110,700,1961,6.551080335043404,0.0010528579573414582,0
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,1800,1961,7.495541943884256,0.0012230524950714906,0.1823215567939549
Esox lucius,Esox lucius_54.3_-3_1822,700,1961,6.551080335043404,0.001052857902847821,0
Perca flavescens,Perca flavescens_45.625_-81.87611_877,97.349,1961,4.578302459551787,2.4966626097227816e-5,0.6494223370572176
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,600,1961,6.396929655216146,4.092291401183264e-6,NA
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,410,1961,6.016157159698354,4.092291401183264e-6,NA
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,500,1961,6.214608098422191,4.092291401183264e-6,NA
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,600,1961,6.396929655216146,4.092290829701258e-6,NA
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,410,1961,6.016157159698354,4.092290829701258e-6,NA
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,500,1961,6.214608098422191,4.092290829701258e-6,NA
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,18,1961,2.8903717578961645,1.1195826310086004e-5,-0.4418327522790393
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,10,1961,2.302585092994046,1.1195826310086004e-5,-0.40546510810816416
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,0.4535,1961,-0.7907600094269457,1.4412936206147225e-6,NA
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.2232,1961,-1.4996870484749811,1.4412936206147225e-6,-0.46994762409324675
Sardinops sagax,Sardinops sagax_-35_20_1936,626,1961,6.439350371100098,0.185070212292527,0.052471051737453145
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,118.7,1962,4.776599301615622,1.1086683227284896e-4,-0.46937158456020533
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1962,1.3862943611198906,NA,0
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,4.109,1962,1.4131796899012727,5.2747193015514414e-5,1.160089062219111
Coregonus artedi,Coregonus artedi_48_-88_4580,2.386,1962,0.8696183236757244,5.2747193015514414e-5,0.05248516333478803
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,2205,1962,7.6984827878809465,3.543743892268161e-5,-0.4356914842569566
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,2205,1962,7.6984827878809465,3.543743895036751e-5,-0.4356914842569566
Esox lucius,Esox lucius_54.12_-3_1111,2300,1962,7.7406644019172415,0.0015005514465177441,0.24512245803298516
Esox lucius,Esox lucius_54.18_-3_1110,800,1962,6.684611727667927,0.0015005514465177441,0.13353139262452274
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,2300,1962,7.7406644019172415,0.0015761438757401353,0.24512245803298516
Esox lucius,Esox lucius_54.3_-3_1822,800,1962,6.684611727667927,0.001500551607709788,0.13353139262452274
Ischnura elegans,Ischnura elegans_52.4333333333333_-0.183333333333333_3,12,1962,2.4849066497880004,4.460873201447152e-9,NA
Perca flavescens,Perca flavescens_45.625_-81.87611_877,63.148,1962,4.14548117766948,2.4972341158458018e-5,-0.4328212818823065
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,620,1962,6.429719478039138,5.2737229642313856e-6,0.032789822822991255
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,740,1962,6.606650186198215,5.2737229642313856e-6,0.5904930264998614
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,590,1962,6.380122536899765,5.2737229642313856e-6,0.1655144384775733
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,620,1962,6.429719478039138,5.273722711875582e-6,0.032789822822991255
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,740,1962,6.606650186198215,5.273722711875582e-6,0.5904930264998614
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,590,1962,6.380122536899765,5.273722711875582e-6,0.1655144384775733
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,38,1962,3.6375861597263857,1.119548484259096e-5,0.7472144018302211
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,12,1962,2.4849066497880004,1.119548484259096e-5,0.18232155679395445
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,0.5575,1962,-0.5842927756478632,1.4412496618296697e-6,0.2064672337790825
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.1269,1962,-2.064355904261795,1.4412496618296697e-6,-0.564668855786814
Sardinops sagax,Sardinops sagax_-35_20_1936,523,1962,6.259581464064923,0.15174481768069492,-0.17976890703517512
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,65,1963,4.174387269895637,1.1206762423595565e-4,-0.6022120317199855
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1963,1.3862943611198906,NA,0
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,2.51,1963,0.9202827531436925,5.2832577027238625e-5,-0.4928969367575803
Coregonus artedi,Coregonus artedi_48_-88_4580,5.888,1963,1.7729163814265751,5.2832577027238625e-5,0.9032980577508507
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,5085,1963,8.53405030848266,3.5440142902426925e-5,0.8355675206017139
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,5085,1963,8.53405030848266,3.544014271553595e-5,0.8355675206017139
Esox lucius,Esox lucius_54.12_-3_1111,1700,1963,7.438383530044307,0.0014805145235344756,-0.3022808718729344
Esox lucius,Esox lucius_54.18_-3_1110,800,1963,6.684611727667927,0.0014805145235344756,0
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,1700,1963,7.438383530044307,0.0015215328474509223,-0.3022808718729344
Esox lucius,Esox lucius_54.3_-3_1822,800,1963,6.684611727667927,0.001480514672453405,0
Ischnura elegans,Ischnura elegans_52.4333333333333_-0.183333333333333_3,26,1963,3.258096538021482,9.165835433825329e-9,0.7731898882334818
Perca flavescens,Perca flavescens_45.625_-81.87611_877,41.562,1963,3.727186288268523,2.4974246469569612e-5,-0.41829488940095727
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,560,1963,6.327936783729195,5.090996349978697e-6,-0.10178269430994291
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,300,1963,5.703782474656201,5.090996349978697e-6,-0.9028677115420143
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,290,1963,5.66988092298052,5.090996349978697e-6,-0.7102416139192451
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,560,1963,6.327936783729195,5.090995793151048e-6,-0.10178269430994291
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,300,1963,5.703782474656201,5.090995793151048e-6,-0.9028677115420143
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,290,1963,5.66988092298052,5.090995793151048e-6,-0.7102416139192451
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,35,1963,3.5553480614894135,1.1213607631951442e-5,-0.08223809823697215
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,17,1963,2.833213344056216,1.1213607631951442e-5,0.3483066942682158
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,0.746,1963,-0.2930296787783762,1.4412496618296697e-6,0.291263096869487
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.3816,1963,-0.9633823394080056,1.4412496618296697e-6,1.1009735648537897
Sardinops sagax,Sardinops sagax_-35_20_1936,375,1963,5.926926025970411,0.3671407461319025,-0.3326554380945126
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,78.6,1964,4.364371699435161,1.1390714567071946e-4,0.18998442953952388
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1964,1.3862943611198906,NA,0
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,1.45,1964,0.371563556432483,5.2747193015514414e-5,-0.5487191967112095
Coregonus artedi,Coregonus artedi_48_-88_4580,3.881,1964,1.3560928523867692,5.2747193015514414e-5,-0.4168235290398059
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,4880,1964,8.492900498847193,3.80710693088019e-5,-0.041149809635466994
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,4880,1964,8.492900498847193,3.807106899650062e-5,-0.041149809635466994
Esox lucius,Esox lucius_54.12_-3_1111,1000,1964,6.907755278982137,0.0011841393991620635,-0.5306282510621703
Esox lucius,Esox lucius_54.18_-3_1110,400,1964,5.991464547107982,0.0011841393991620635,-0.6931471805599454
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,1000,1964,6.907755278982137,0.0011537653128414621,-0.5306282510621703
Esox lucius,Esox lucius_54.3_-3_1822,400,1964,5.991464547107982,0.0011841394153514582,-0.6931471805599454
Ischnura elegans,Ischnura elegans_52.4333333333333_-0.183333333333333_3,41,1964,3.713572066704308,3.4339185103307534e-9,0.4554755286828258
Perca flavescens,Perca flavescens_45.625_-81.87611_877,24.234,1964,3.187756605809331,2.6828228884693365e-5,-0.539429682459192
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,380,1964,5.940171252720432,3.860458882796076e-6,-0.3877655310087631
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,130,1964,4.867534450455582,3.860458882796076e-6,-0.8362480242006187
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,105,1964,4.653960350157523,3.860458882796076e-6,-1.0159205728229965
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,380,1964,5.940171252720432,3.860457989311113e-6,-0.3877655310087631
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,130,1964,4.867534450455582,3.860457989311113e-6,-0.8362480242006187
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,105,1964,4.653960350157523,3.860457989311113e-6,-1.0159205728229965
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,64,1964,4.1588830833596715,1.119548484259096e-5,0.603535021870258
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,15,1964,2.70805020110221,1.119548484259096e-5,-0.1251631429540061
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,0.8692,1964,-0.1401820305998625,1.4412496618296697e-6,0.1528476481785137
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.3829,1964,-0.9599814204988881,1.4412496618296697e-6,0.003400918909117423
Sardinops sagax,Sardinops sagax_-35_20_1936,348,1964,5.8522024797744745,0.12087479755976861,-0.07472354619593613
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,128.3,1965,4.8543712716215905,1.0629957533641492e-4,0.48999957218642987
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,3,1965,1.0986122886681098,NA,-0.2876820724517808
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,2.03,1965,0.7080357930536959,5.2747193015514414e-5,0.3364722366212129
Coregonus artedi,Coregonus artedi_48_-88_4580,3.058,1965,1.1177611075068705,5.2747193015514414e-5,-0.23833174487989872
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,4591,1965,8.431853144249223,3.543851978105174e-5,-0.06104735459797084
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,4591,1965,8.431853144249223,3.543852043168124e-5,-0.06104735459797084
Esox lucius,Esox lucius_54.12_-3_1111,800,1965,6.684611727667927,6.3963410386438e-4,-0.2231435513142097
Esox lucius,Esox lucius_54.18_-3_1110,400,1965,5.991464547107982,6.3963410386438e-4,0
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,800,1965,6.684611727667927,4.8397176002775e-4,-0.2231435513142097
Esox lucius,Esox lucius_54.3_-3_1822,400,1965,5.991464547107982,6.396339489530084e-4,0
Ischnura elegans,Ischnura elegans_52.4333333333333_-0.183333333333333_3,14,1965,2.6390573296152584,1.7979336476471196e-9,-1.0745147370890495
Perca flavescens,Perca flavescens_45.625_-81.87611_877,15.503,1965,2.741033553584225,2.4973103265459056e-5,-0.446723052225106
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,180,1965,5.19295685089021,1.6193527914444287e-6,-0.7472144018302211
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,215,1965,5.3706380281276624,1.6193527914444287e-6,0.5031035776720802
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,190,1965,5.247024072160486,1.6193527914444287e-6,0.5930637220029631
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,180,1965,5.19295685089021,1.6193529748867637e-6,-0.7472144018302211
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,215,1965,5.3706380281276624,1.6193529748867637e-6,0.5031035776720802
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,190,1965,5.247024072160486,1.6193529748867637e-6,0.5930637220029631
Salvelinus namaycush,Salvelinus namaycush_43.5_-87.5_4579,1274,1965,7.149916836132109,1.119548484259096e-5,NA
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,61,1965,4.110873864173311,1.119548484259096e-5,-0.04800921918636014
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,20,1965,2.995732273553991,1.119548484259096e-5,0.2876820724517808
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,0.8576,1965,-0.1536174886655995,1.4412496618296697e-6,-0.013435458065736983
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.5955,1965,-0.5183538901867822,1.4412496618296697e-6,0.4416275303121059
Sardinops sagax,Sardinops sagax_-35_20_1936,227,1965,5.424950017481403,0.07997749471080441,-0.42725246229307157
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,67.3,1966,4.209160236650682,5.657255568348492e-5,-0.6452110349709086
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1966,1.3862943611198906,NA,0.2876820724517808
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,1.812,1966,0.5944312076207876,5.279067327412953e-5,-0.1136045854329083
Coregonus artedi,Coregonus artedi_48_-88_4580,1.26,1966,0.23111172096338664,5.279067327412953e-5,-0.8866493865434839
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,2001,1966,7.601402334583733,3.5405550724120466e-5,-0.8304508096654892
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,2001,1966,7.601402334583733,3.540555009484255e-5,-0.8304508096654892
Esox lucius,Esox lucius_54.12_-3_1111,900,1966,6.802394763324311,4.941125699303664e-4,0.11778303565638382
Esox lucius,Esox lucius_54.18_-3_1110,500,1966,6.214608098422191,4.941125699303664e-4,0.2231435513142097
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,900,1966,6.802394763324311,2.852252040733809e-4,0.11778303565638382
Esox lucius,Esox lucius_54.3_-3_1822,500,1966,6.214608098422191,4.941126649891349e-4,0.2231435513142097
Ischnura elegans,Ischnura elegans_52.4333333333333_-0.183333333333333_3,30,1966,3.4011973816621555,1.3536104621265614e-8,0.762140052046897
Oncorhynchus kisutch,Oncorhynchus kisutch_43.5_-87.5_4577,660,1966,6.492239835020471,4.2497858362279165e-6,NA
Perca flavescens,Perca flavescens_45.625_-81.87611_877,7.779,1966,2.051427795224637,2.4949869461774822e-5,-0.6896057583595878
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,175,1966,5.1647859739235145,9.543536804297278e-7,-0.028170876966695957
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,105,1966,4.653960350157523,9.543536804297278e-7,-0.7166776779701394
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,125,1966,4.8283137373023015,9.543536804297278e-7,-0.41871033485818465
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,175,1966,5.1647859739235145,9.543537326209552e-7,-0.028170876966695957
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,105,1966,4.653960350157523,9.543537326209552e-7,-0.7166776779701394
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,125,1966,4.8283137373023015,9.543537326209552e-7,-0.41871033485818465
Salvelinus namaycush,Salvelinus namaycush_43.5_-87.5_4579,2379,1966,7.774435510302958,1.1210699199371718e-5,0.624518674170849
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,100,1966,4.605170185988092,1.1204713163642481e-5,0.49429632181478045
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,25,1966,3.2188758248682006,1.1204713163642481e-5,0.2231435513142097
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,1.2208,1966,0.19950638154805558,1.441271641054602e-6,0.3531238702136551
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.555,1966,-0.5887871652357024,1.441271641054602e-6,-0.07043327504892016
Sardinops sagax,Sardinops sagax_-35_20_1936,110,1966,4.700480365792417,0.15984990464571286,-0.7244696516889864
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,68.9,1967,4.232656178019613,1.046914821886334e-4,0.02349594136893085
Calathus melanocephalus,Calathus melanocephalus_52.8166666666667_6.36666666666667_9188,4,1967,1.3862943611198906,NA,0
Coregonus artedi,Coregonus artedi_48.46667_-89.15_4581,1.815,1967,0.596085467716814,5.302236496603382e-5,0.0016542600960264275
Coregonus artedi,Coregonus artedi_48_-88_4580,2.269,1967,0.8193392057977047,5.302236496603382e-5,0.5882274848343181
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_1792,2616,1967,7.86940171257709,3.5464486233268483e-5,0.26799937799335627
Coregonus clupeaformis,Coregonus clupeaformis_45_-82_829,2616,1967,7.86940171257709,3.5464485886936e-5,0.26799937799335627
Esox lucius,Esox lucius_54.12_-3_1111,700,1967,6.551080335043404,0.0010713817029731104,-0.25131442828090655
Esox lucius,Esox lucius_54.18_-3_1110,400,1967,5.991464547107982,0.0010713817029731104,-0.2231435513142097
Esox lucius,Esox lucius_54.3333333333333_-2.91666666666667_1823,700,1967,6.551080335043404,0.001073689425743586,-0.25131442828090655
Esox lucius,Esox lucius_54.3_-3_1822,400,1967,5.991464547107982,0.0010713818661914189,-0.2231435513142097
Ischnura elegans,Ischnura elegans_52.4333333333333_-0.183333333333333_3,33,1967,3.4965075614664802,1.0223510632910076e-8,0.09531017980432477
Oncorhynchus kisutch,Oncorhynchus kisutch_43.5_-87.5_4577,1942,1967,7.571473648851271,4.253418796970755e-6,1.0792338138307995
Perca flavescens,Perca flavescens_45.625_-81.87611_877,4.294,1967,1.4572186994565892,2.4991400812521213e-5,-0.5942090957680479
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6059,95,1967,4.553876891600541,3.5925277305902057e-6,-0.6109090823229737
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6060,60,1967,4.0943445622221,3.5925277305902057e-6,-0.5596157879354227
Perca fluviatilis,Perca fluviatilis_54.3333333333333_-2.91666666666667_6061,80,1967,4.382026634673881,3.5925277305902057e-6,-0.4462871026284203
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6103,95,1967,4.553876891600541,3.592527144699551e-6,-0.6109090823229737
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6104,60,1967,4.0943445622221,3.592527144699551e-6,-0.5596157879354227
Perca fluviatilis,Perca fluviatilis_54.33333_-2.91667_6105,80,1967,4.382026634673881,3.592527144699551e-6,-0.4462871026284203
Salmo trutta,Salmo trutta_54.3333333333333_-2.88333333333333_7022,1.93,1967,0.6575200029167941,6.846146039527265e-4,NA
Salmo trutta,Salmo trutta_54.3333333333333_-2.88333333333333_7023,0.4,1967,-0.916290731874155,6.846146039527265e-4,NA
Salmo trutta,Salmo trutta_54.3333333333333_-2.88333333333333_7024,0.45,1967,-0.7985076962177716,6.846146039527265e-4,NA
Salmo trutta,Salmo trutta_54.3333333333333_-2.88333333333333_7025,5.77,1967,1.7526720805200082,6.846146039527265e-4,NA
Salmo trutta,Salmo trutta_54.3333333333333_-2.88333333333333_7104,22,1967,3.091042453358316,6.846146039527265e-4,NA
Salmo trutta,Salmo trutta_54.34472_-2.95167_1135,4650,1967,8.444622498581403,6.846146039527265e-4,NA
Salvelinus namaycush,Salvelinus namaycush_43.5_-87.5_4579,3701,1967,8.216358332386156,1.1220282274849007e-5,0.4419228220831979
Salvelinus namaycush,Salvelinus namaycush_47.15417_-90.5_886,95,1967,4.553876891600541,1.1253889564513028e-5,-0.051293294387551036
Salvelinus namaycush,Salvelinus namaycush_47.26472_-87.17472_885,52,1967,3.9512437185814275,1.1253889564513028e-5,0.732367893713227
Sander vitreus,Sander vitreus_48.44972_-92.45028_888,1.9999,1967,0.6930971793099037,1.4412496618296697e-6,0.4935907977618481
Sander vitreus,Sander vitreus_48.7_-93.16667_889,0.6959,1967,-0.3625493071313327,1.4412496618296697e-6,0.2262378581043697
Sardinops sagax,Sardinops sagax_-35_20_1936,62,1967,4.127134385045092,0.08261822344235763,-0.5733459807473249
Alosa pseudoharengus,Alosa pseudoharengus_44.03_-69.31_822,92.5,1968,4.52720864451838,1.0799167459460316e-4,0.2945524664987671
